Crime Date,Crime,COMMITTED,DISTRICT,,,,,,,,,,,,,,,,,,
12/31/2018,INDIVIDUAL ROBBERY,COMMITTED,1,,,,,,,,,,,,,,,,,,
12/31/2018,CRIMINAL DAMAGE TO PROPERTY,COMMITTED,3,,Row Labels,Count of Crime,,,,,,,,,,,,,,,
12/31/2018,ASSAULT,COMMITTED,4,,Jan,3954,,,,,,,,,,,,,,,
12/31/2018,CRIMINAL DAMAGE TO PROPERTY,COMMITTED,2,,Feb,4046,,,,,,,,,,,,,,,
12/31/2018,BATTERY,COMMITTED,1,,Mar,4001,,,,,,,,,,,,,,,
12/31/2018,HOMICIDE,ATTEMPTED,2,,Apr,3666,,,,,,,,,,,,,,,
12/31/2018,BATTERY,COMMITTED,4,,May,4021,,,,,,,,,,,,,,,
12/31/2018,BATTERY,COMMITTED,4,,Jun,4108,,,,,,,,,,,,,,,
12/31/2018,FIREARM,COMMITTED,2,,Jul,3791,,,,,,,,,,,,,,,
12/31/2018,THEFT,COMMITTED,1,,Aug,3822,,,,,,,,,,,,,,,
12/31/2018,THEFT,COMMITTED,1,,Sep,3907,,130.2333333,,,,,,,,,,,,,
12/31/2018,CRIMINAL DAMAGE TO PROPERTY,COMMITTED,4,,Oct,3473,,112.0322581,,,,,,,,,,,,,
12/31/2018,THEFT,COMMITTED,1,,Nov,3488,,116.2666667,,,,,,,,,,,,,
12/31/2018,THEFT,COMMITTED,1,,Dec,3349,,,,,,,,,,,,,,,
12/31/2018,THEFT,COMMITTED,1,,Grand Total,45626,,,,,,,,,,,,,,,
12/31/2018,BATTERY,COMMITTED,4,,,,,,,,,,,,,,,,,,
12/31/2018,ASSAULT,COMMITTED,4,,,,,,,,,,,,,,,,,,
12/31/2018,THEFT,COMMITTED,2,,,,,,,,,,,,,,,,,,
12/31/2018,ASSAULT,COMMITTED,4,,Count of Crime,Column Labels,,,,,,,,,,,,,,,
12/31/2018,OTHER,COMMITTED,2,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Grand Total,,,
12/31/2018,OTHER,COMMITTED,2,,Row Labels,,,,,,,,,,,,,,Sep,Oct,Nov
12/31/2018,BATTERY,COMMITTED,2,,ASSAULT,163,148,144,173,228,215,175,187,189,174,191,175,2162,6.3,5.612903226,6.366666667
12/31/2018,OTHER,COMMITTED,2,,BATTERY,331,309,341,328,350,346,311,301,355,320,277,281,3850,11.83333333,10.32258065,9.233333333
12/31/2018,HOMICIDE,ATTEMPTED,2,,BUSINESS ROBBERY,6,10,5,1,2,4,2,8,4,9,6,4,61,0.133333333,0.290322581,0.2
12/31/2018,THEFT,COMMITTED,1,,CRIMINAL DAMAGE TO PROPERTY,259,296,284,264,334,342,309,261,333,300,287,278,3547,11.1,9.677419355,9.566666667
12/31/2018,OTHER,COMMITTED,3,,FIREARM,189,188,146,143,164,131,154,168,156,132,175,210,1956,5.2,4.258064516,5.833333333
12/31/2018,NON-RESIDENTIAL BURGLARY,COMMITTED,3,,HOMICIDE,32,38,29,29,42,44,24,30,28,17,30,34,377,0.933333333,0.548387097,1
12/31/2018,VEHICLE BURGLARY,COMMITTED,1,,INDIVIDUAL ROBBERY,57,39,48,45,71,55,55,68,69,44,47,53,651,2.3,1.419354839,1.566666667
12/31/2018,THEFT,COMMITTED,3,,JUVENILE,37,41,47,20,26,38,33,30,33,34,27,24,390,1.1,1.096774194,0.9
12/31/2018,OTHER,COMMITTED,2,,NARCOTICS,420,462,444,328,329,325,323,388,295,280,372,280,4246,9.833333333,9.032258065,12.4
12/31/2018,BATTERY,COMMITTED,1,,NON-RESIDENTIAL BURGLARY,149,206,135,175,214,210,169,176,149,183,149,162,2077,4.966666667,5.903225806,4.966666667
12/31/2018,NARCOTICS,COMMITTED,1,,NUISANCE,43,59,56,61,57,59,46,39,65,57,64,41,647,2.166666667,1.838709677,2.133333333
12/31/2018,THEFT,COMMITTED,3,,OTHER,975,1107,1057,844,841,1059,979,941,955,671,664,662,10755,31.83333333,21.64516129,22.13333333
12/31/2018,THEFT,COMMITTED,4,,RESIDENTIAL BURGLARY,92,104,71,83,97,84,75,74,74,58,64,63,939,2.466666667,1.870967742,2.133333333
12/31/2018,CRIMINAL DAMAGE TO PROPERTY,COMMITTED,1,,SEXUAL ASSAULT,26,10,25,21,30,18,11,10,15,10,9,18,203,0.5,0.322580645,0.3
